date,tempC
2008-07-31,15.741935483870968
2008-08-31,16.225806451612904
2008-09-30,14.566666666666666
2008-10-31,12.064516129032258
2008-11-30,9.766666666666667
2008-12-31,7.516129032258065
2009-01-31,7.225806451612903
2009-02-28,6.857142857142857
2009-03-31,8.516129032258064
2009-04-30,10.433333333333334
2009-05-31,12.03225806451613
2009-06-30,15.233333333333333
2009-07-31,16.193548387096776
2009-08-31,16.516129032258064
2009-09-30,14.866666666666667
2009-10-31,13.548387096774194
2009-11-30,10.766666666666667
2009-12-31,7.483870967741935
2010-01-31,5.483870967741935
2010-02-28,5.714285714285714
2010-03-31,7.612903225806452
2010-04-30,10.066666666666666
2010-05-31,11.935483870967742
2010-06-30,15.3
2010-07-31,16.548387096774192
2010-08-31,16.70967741935484
2010-09-30,15.6
2010-10-31,12.870967741935484
2010-11-30,7.9
2010-12-31,3.870967741935484
2011-01-31,5.806451612903226
2011-02-28,8.964285714285714
2011-03-31,9.258064516129032
2011-04-30,12.9
2011-05-31,13.129032258064516
2011-06-30,14.633333333333333
2011-07-31,16.0
2011-08-31,16.129032258064516
2011-09-30,15.566666666666666
2011-10-31,14.0
2011-11-30,11.933333333333334
2011-12-31,8.258064516129032
2012-01-31,8.161290322580646
2012-02-29,8.214285714285714
2012-03-31,10.870967741935484
2012-04-30,9.166666666666666
2012-05-31,12.451612903225806
2012-06-30,14.166666666666666
2012-07-31,15.516129032258064
2012-08-31,17.0
2012-09-30,14.833333333333334
2012-10-31,11.548387096774194
2012-11-30,8.933333333333334
2012-12-31,8.0
2013-01-31,7.387096774193548
2013-02-28,6.571428571428571
2013-03-31,5.451612903225806
2013-04-30,9.3
2013-05-31,12.193548387096774
2013-06-30,15.366666666666667
2013-07-31,19.096774193548388
2013-08-31,18.096774193548388
2013-09-30,15.633333333333333
2013-10-31,14.064516129032258
2013-11-30,8.833333333333334
2013-12-31,9.225806451612904
2014-01-31,7.451612903225806
2014-02-28,8.0
2014-03-31,9.838709677419354
2014-04-30,12.066666666666666
2014-05-31,13.903225806451612
2014-06-30,16.633333333333333
2014-07-31,18.741935483870968
2014-08-31,16.419354838709676
2014-09-30,16.466666666666665
2014-10-31,13.903225806451612
2014-11-30,10.866666666666667
2014-12-31,7.580645161290323
2015-01-31,7.612903225806452
2015-02-28,7.75
2015-03-31,8.774193548387096
2015-04-30,10.933333333333334
2015-05-31,11.548387096774194
2015-06-30,15.1
2015-07-31,16.129032258064516
2015-08-31,16.161290322580644
2015-09-30,14.466666666666667
2015-10-31,13.516129032258064
2015-11-30,12.4
2015-12-31,10.935483870967742
2016-01-31,9.193548387096774
2016-02-29,7.928571428571429
2016-03-31,8.96774193548387
2016-04-30,9.366666666666667
2016-05-31,13.064516129032258
2016-06-30,15.533333333333333
2016-07-31,16.838709677419356
2016-08-31,16.903225806451612
2016-09-30,16.466666666666665
2016-10-31,13.064516129032258
2016-11-30,9.533333333333333
2016-12-31,9.580645161290322
2017-01-31,8.612903225806452
2017-02-28,8.964285714285714
2017-03-31,10.129032258064516
2017-04-30,10.633333333333333
2017-05-31,13.419354838709678
2017-06-30,15.466666666666667
2017-07-31,16.677419354838708
2017-08-31,17.032258064516128
2017-09-30,15.2
2017-10-31,14.35483870967742
2017-11-30,9.9
2017-12-31,8.516129032258064
2018-01-31,8.258064516129032
2018-02-28,6.428571428571429
2018-03-31,6.870967741935484
2018-04-30,9.7
2018-05-31,13.387096774193548
2018-06-30,17.466666666666665
2018-07-31,18.774193548387096
2018-08-31,17.64516129032258
2018-09-30,15.133333333333333
2018-10-31,12.516129032258064
2018-11-30,10.5
2018-12-31,10.32258064516129
2019-01-31,7.806451612903226
2019-02-28,10.142857142857142
2019-03-31,10.419354838709678
2019-04-30,11.6
2019-05-31,13.419354838709678
2019-06-30,14.633333333333333
2019-07-31,19.258064516129032
2019-08-31,17.516129032258064
2019-09-30,15.966666666666667
2019-10-31,12.064516129032258
2019-11-30,8.866666666666667
2019-12-31,8.03225806451613
2020-01-31,8.193548387096774
2020-02-29,8.142857142857142
